partner_id,partner_name,partner_code,institution_type,state,district,matched_entity_id,matched_entity_name,match_level,confidence,match_reason
e4f6f87a-8b1d-4eed-b184-2e55060a30fa,Uttar Pradesh Gramin Bank,RRB-0456B02A,REGIONAL_RURAL_BANK,,,6477720f-f578-4d7c-84fd-587aaa3ca68d,Baroda U.P. Bank,MATCH_LEVEL_4,0.88,Official alias match 'Baroda Uttar Pradesh Gramin Bank' -> Baroda U.P. Bank (Source: DFS_RRB_AMALGAMATION_2020)
9381f6c7-d2d8-435e-a320-731879b5590e,Complex,RRB-8A6FED3A,REGIONAL_RURAL_BANK,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Complex'
50c70175-3553-445b-9578-6a680c67aff9,Kerala Grameena Bank,RRB-C621E6B5,REGIONAL_RURAL_BANK,,,0d863e51-0a65-4975-a3c2-956eacc13549,Kerala Gramin Bank,MATCH_LEVEL_4,0.88,Official alias match 'Kerala Grameena Bank' -> Kerala Gramin Bank (Source: GOVERNMENT_DIRECTORY)
41804e4e-ea64-429a-8990-cf647fdde1af,Uttarakhand Gramin Bank,RRB-26847FCF,REGIONAL_RURAL_BANK,,,d7b223b5-9fdc-483b-bf5c-cff7a3c2694e,Uttarakhand Gramin Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Uttarakhand Gramin Bank
ea995f14-d3f4-44a2-9fa2-5a0c24a0631c,Tripura Gramin Bank,RRB-B663F5CD,REGIONAL_RURAL_BANK,,,287b40e6-877e-45a1-a5f6-37619978eb24,Tripura Gramin Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Tripura Gramin Bank
bb7c9f36-0a4c-4814-b3c1-0250b9366f85,Karnataka Grameena Bank,RRB-D86CB9E5,REGIONAL_RURAL_BANK,,,764b7bcb-bcbb-42f2-b544-2378aa7adb64,Karnataka Gramin Bank,MATCH_LEVEL_4,0.88,Official alias match 'Karnataka Grameena Bank' -> Karnataka Gramin Bank (Source: GOVERNMENT_DIRECTORY)
6f013d2e-1fe3-44e9-ae93-085861469e37,Assam Gramin Bank,RRB-B41B232D,REGIONAL_RURAL_BANK,,,3a7e9d4f-dae5-4f3e-845d-cac838b0d9f7,Assam Gramin Vikash Bank,MATCH_LEVEL_4,0.88,Official alias match 'Assam Gramin Bank' -> Assam Gramin Vikash Bank (Source: GOVERNMENT_DIRECTORY)
afd49bd5-8539-4e70-9ce1-edffb55517a4,Andhra Pradesh Grameena Bank,RRB-6D3573F7,REGIONAL_RURAL_BANK,,,33f7d3b5-7a32-4be0-847d-951b6f3dc184,Andhra Pradesh Grameena Vikas Bank,MATCH_LEVEL_4,0.88,Official alias match 'Andhra Pradesh Grameena Bank' -> Andhra Pradesh Grameena Vikas Bank (Source: GOVERNMENT_DIRECTORY)
ab2f472d-2b84-44ab-84ca-0b9dac3ca0ab,Punjab Gramin Bank,RRB-2D1F95A0,REGIONAL_RURAL_BANK,,,7b6fd06e-0cab-4e3d-ae08-53b918198137,Punjab Gramin Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Punjab Gramin Bank
5fbd0539-07aa-4ffb-83c3-cff7ede183b0,Tamil Nadu Grama Bank,RRB-379EA7C1,REGIONAL_RURAL_BANK,,,adf98f8c-e1e6-4502-b783-c453f17f5054,Tamil Nadu Grama Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Tamil Nadu Grama Bank
2953dda3-091d-4cdd-adf3-a8e107a178b8,Madhaya Pradesh Gramin Bank,RRB-68A175F7,REGIONAL_RURAL_BANK,,,940123ab-fe33-4cb4-be56-6addbe89d78e,Madhya Pradesh Gramin Bank,MATCH_LEVEL_4,0.88,Official alias match 'Madhaya Pradesh Gramin Bank' -> Madhya Pradesh Gramin Bank (Source: GOVERNMENT_DIRECTORY)
58487a38-6433-4c77-81c6-f8ab3b8ce1ac,Himachal Pradesh Gramin Bank,RRB-CE23F0C2,REGIONAL_RURAL_BANK,Himachal Pradesh,,e0c71c1c-b5d1-4498-8cf0-658a3f38ab9b,Himachal Pradesh Gramin Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Himachal Pradesh Gramin Bank
84f21b21-8040-4931-8c45-de280ae929f6,Puducherry Grama Bank,RRB-241925E5,REGIONAL_RURAL_BANK,,,c750e7e7-dd21-4314-b845-6da02091b0d5,Puduvai Bharathiar Grama Bank,MATCH_LEVEL_4,0.88,Official alias match 'Puducherry Grama Bank' -> Puduvai Bharathiar Grama Bank (Source: GOVERNMENT_DIRECTORY)
0ae9941f-fbf2-4efc-8faf-a137d091e4d0,West Bengal Gramin Bank No.441,RRB-54AF87EC,REGIONAL_RURAL_BANK,,,83be5b43-abb3-44d9-952e-5fbcb1b84c57,Paschim Banga Gramin Bank,MATCH_LEVEL_4,0.88,Official alias match 'West Bengal Gramin Bank No.441' -> Paschim Banga Gramin Bank (Source: GOVERNMENT_DIRECTORY)
83752b0f-14ca-4f50-86de-c8ca42c4e0e4,Tikiapara,RRB-C0693FC3,REGIONAL_RURAL_BANK,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Tikiapara'
f662769c-9303-4a48-95df-8c3605a2b891,Chhattisgarh Gramin Bank,RRB-4E9C65C2,REGIONAL_RURAL_BANK,Chhattisgarh,,81ffb6fd-1e90-4dae-b15b-e9e4163ba82e,Chhattisgarh Rajya Gramin Bank,MATCH_LEVEL_4,0.88,Official alias match 'Chhattisgarh Gramin Bank' -> Chhattisgarh Rajya Gramin Bank (Source: GOVERNMENT_DIRECTORY)
f5fbbb0c-4391-4d0d-9627-f8e0a3663099,Manipur Rural Bank,RRB-5E34EB8E,REGIONAL_RURAL_BANK,,,621acaa2-5661-42d9-b82d-3bf2eb9983bc,Manipur Rural Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Manipur Rural Bank
20071c36-2fb4-4cb9-be0e-9dd1e8259e0f,Plot No.-47,RRB-3B2BDCA7,REGIONAL_RURAL_BANK,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Plot No.-47'
553c210b-9d07-4f4b-9b06-9f441d31137f,Meghalaya Rural Bank,RRB-DE6A3310,REGIONAL_RURAL_BANK,,,e177c1a7-5f41-487a-9497-08c326bdd6e4,Meghalaya Rural Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Meghalaya Rural Bank
28f208ea-a70a-49dd-910e-4b9ea8d9e083,J&K Grameen Bank M.T.C Building,RRB-3FAF758D,REGIONAL_RURAL_BANK,,,37b4e379-16a8-4c29-98de-95f2b37f6377,Jammu & Kashmir Grameen Bank,MATCH_LEVEL_4,0.88,Official alias match 'J&K Grameen Bank M.T.C Building' -> Jammu & Kashmir Grameen Bank (Source: GOVERNMENT_DIRECTORY)
fb35ad4b-04c8-493b-9577-5ce7cf565acf,Odisha Grameen Bank,RRB-180F880C,REGIONAL_RURAL_BANK,,,d0af188d-4858-4b83-b158-b9af7ca2eb4a,Odisha Gramya Bank,MATCH_LEVEL_4,0.88,Official alias match 'Odisha Grameen Bank' -> Odisha Gramya Bank (Source: GOVERNMENT_DIRECTORY)
